OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
MISEQ01:3:000000000-ALULJ:1:1106:12559:14774_CONS_SUB_SUB_CMP,Synodus macrostigmus,1226405,100,FALSE,,81391,False,3,0.317,0.001,2,0,6,True,FALSE
MISEQ01:3:000000000-ALULJ:1:1106:12565:22048_CONS_SUB_SUB_CMP,uncultured Jiaozhou Bay zooplankton,232018,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1106:23107:15719_CONS_SUB_SUB_CMP,Caulolatilus intermedius,1311425,100,TRUE,Caulolatilus intermedius,1311425,True,1,0.998,0.998,1,0,11,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1107:18422:15606_CONS_SUB_SUB_CMP,Hexapanopeus angustifrons,108115,97.98,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1107:8473:12261_CONS_SUB_SUB_CMP,Scomberomorus cavalla,13679,100,TRUE,Scomberomorus cavalla,13679,True,1,1,1,1,0,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1108:18337:4959_CONS_SUB_SUB,Ophiolepis elegans,1316111,97.76,FALSE,Ophiolepis elegans,1316111,True,1,0.984,0.984,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1108:20725:3298_CONS_SUB_SUB,Upeneus parvus,461258,100,TRUE,,30854,False,2,0.966,0.02,2,1,18,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1108:8154:26239_CONS_SUB_SUB_CMP,Urophycis cirrata,458613,100,TRUE,Urophycis cirrata,458613,True,1,1,1,3,2,9,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1109:15201:26914_CONS_SUB_SUB,Frevillea barbata,576826,98.92,FALSE,Frevillea barbata,576826,True,1,1,1,1,0,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1109:24924:22485_CONS_SUB_SUB,Clytia gracilis,252669,99.36,FALSE,Clytia gracilis,252669,True,1,0.997,0.997,7,1,37,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1109:5553:21069_CONS_SUB_SUB,Ctenochira sp. BOLD:ACF8569,1667812,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1109:9722:3664_CONS_SUB_SUB,Synodus poeyi,1226406,99.68,FALSE,Synodus poeyi,1226406,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1109:9735:20153_CONS_SUB_SUB,Trachurus lathami,179371,100,FALSE,Trachurus lathami,179371,True,2,0.944,0.008,13,2,48,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1110:12388:22064_CONS_SUB_SUB,Speocarcinus lobatus,576842,100,FALSE,Speocarcinus lobatus,576842,True,2,0.89,0.062,3,0,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1110:14797:27654_CONS_SUB_SUB,Citharichthys cornutus,1282419,99.35,FALSE,Citharichthys cornutus,1282419,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1110:19230:4617_CONS_SUB_SUB,Homo sapiens,9606,97.96,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1110:26150:23667_CONS_SUB_SUB,Liposcelis paeta,209927,100,FALSE,,50557,False,2,0.439,0.264,2,1,6,True,FALSE
MISEQ01:3:000000000-ALULJ:1:1110:26371:17360_CONS_SUB_SUB,Ariomma bondi,490246,99.36,FALSE,Ariomma bondi,490246,True,2,0.995,0.002,1,0,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1110:7408:5658_CONS_SUB_SUB,Achelous spinimanus,372817,99.36,FALSE,,600334,True,2,0.992,0.005,2,0,13,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1111:12339:21371_CONS_SUB_SUB_CMP,Diphyes dispar,316177,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1111:4491:23529_CONS_SUB_SUB_CMP,Psychoda trinodulosa,1415337,98.4,FALSE,,7197,False,2,0.672,0.193,4,2,50,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1111:8543:13134_CONS_SUB_SUB,Lagodon rhomboides,50351,100,FALSE,Lagodon rhomboides,50351,True,1,0.995,0.995,1,0,50,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1112:13434:18551_CONS_SUB_SUB,Tenuicylindrus sp. LG-2015,1602337,98.6,FALSE,,33836,False,2,0.201,0.093,2,2,50,False,FALSE
