OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
M00595:3:000000000-ALULJ:1:1108:4777:18807_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,81391,False,2,0.198,0.197,2,0,6,False,NA
M00595:3:000000000-ALULJ:1:1109:12743:3914_CONS_SUB_SUB,Cerebratulus environmental sample,1112827,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1109:16835:2185_CONS_SUB_SUB,NA,NA,NA,NA,Decapterus punctatus,173322,True,1,1,1,1,0,25,False,NA
M00595:3:000000000-ALULJ:1:1109:16930:21661_CONS_SUB_SUB,NA,NA,NA,NA,Bubalus bubalis,89462,True,1,0.992,0.992,2,1,50,False,NA
M00595:3:000000000-ALULJ:1:1109:21115:8727_CONS_SUB_SUB,NA,NA,NA,NA,,320587,True,2,0.989,0.001,4,2,6,False,NA
M00595:3:000000000-ALULJ:1:1109:22701:23846_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,7,1,0.001,2,0,50,True,NA
M00595:3:000000000-ALULJ:1:1109:23761:11537_CONS_SUB_SUB,Lutjanus synagris,40496,99.44,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1109:24195:19524_CONS_SUB_SUB,Gadus macrocephalus,80720,99.68,FALSE,,7711,False,4,0.202,0.001,8,2,17,False,FALSE
M00595:3:000000000-ALULJ:1:1109:6500:9374_CONS_SUB_SUB,NA,NA,NA,NA,Pseudorhombila quadridentata,689448,True,1,0.996,0.996,1,0,50,False,NA
M00595:3:000000000-ALULJ:1:1110:12070:25926_CONS_SUB_SUB,Trichiurus lepturus,13733,100,FALSE,,186623,False,5,0.282,0.002,3,1,6,False,FALSE
M00595:3:000000000-ALULJ:1:1110:18048:5939_CONS_SUB_SUB,NA,NA,NA,NA,Chloroscombrus chrysurus,173329,True,1,0.998,0.998,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1110:25199:14855_CONS_SUB_SUB,Selar crumenophthalmus,146146,100,TRUE,,8157,False,1,0.614,0.614,3,0,19,False,FALSE
M00595:3:000000000-ALULJ:1:1110:25642:16455_CONS_SUB_SUB_CMP,Pristipomoides aquilonaris,40511,99.68,TRUE,Pristipomoides aquilonaris,40511,True,1,0.995,0.995,1,0,14,False,TRUE
M00595:3:000000000-ALULJ:1:1110:26581:14170_CONS_SUB_SUB_CMP,Pseudorhombila quadridentata,689448,99.09,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1110:3692:17803_CONS_SUB_SUB,Speocarcinus lobatus,576842,99.57,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1110:5153:6176_CONS_SUB_SUB,NA,NA,NA,NA,,6447,False,4,0.146,0.085,3,3,6,False,NA
M00595:3:000000000-ALULJ:1:1110:5966:7257_CONS_SUB_SUB,NA,NA,NA,NA,Chloroscombrus chrysurus,173329,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1110:8602:18425_CONS_SUB_SUB,Chloroscombrus chrysurus,173329,99.26,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1111:11099:3383_CONS_SUB_SUB,Hoplunnis macrura,1459830,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1111:3970:19161_CONS_SUB_SUB_CMP,Caulolatilus intermedius,1311425,97.11,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1111:7594:21160_CONS_SUB_SUB,NA,NA,NA,NA,,186623,False,4,1,0.008,2,1,7,False,NA
M00595:3:000000000-ALULJ:1:1111:9114:20050_CONS_SUB_SUB,Chloroscombrus chrysurus,173329,99.04,FALSE,Chloroscombrus chrysurus,173329,True,1,1,1,1,0,9,False,TRUE
M00595:3:000000000-ALULJ:1:1112:16235:28352_CONS_SUB_SUB,NA,NA,NA,NA,Gempylus serpens,13543,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1112:22117:17914_CONS_SUB_SUB_CMP,Selene setapinnis,179369,98.18,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1112:2755:11567_CONS_SUB_SUB,Phrosina semilunata,472191,100,FALSE,Phrosina semilunata,472191,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:1112:28295:16225_CONS_SUB_SUB,Scomberomorus cavalla,13679,99.55,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1113:16182:27862_CONS_SUB_SUB,NA,NA,NA,NA,Chloroscombrus chrysurus,173329,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1114:18834:11340_CONS_SUB_SUB,NA,NA,NA,NA,Aspergillus versicolor,46472,True,2,0.998,0.002,16,6,50,False,NA
M00595:3:000000000-ALULJ:1:1114:21973:10209_CONS_SUB_SUB_CMP,Prionotus sp. BOLD:AAF0351,586853,100,FALSE,,320587,True,3,0.985,0.001,4,2,6,False,FALSE
M00595:3:000000000-ALULJ:1:1114:24529:16652_CONS_SUB_SUB_CMP,Prionotus alatus,1459834,97.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1114:24667:8375_CONS_SUB_SUB,NA,NA,NA,NA,,8157,False,2,0.004,0.001,3,0,50,False,NA
M00595:3:000000000-ALULJ:1:1114:29319:16045_CONS_SUB_SUB_CMP,Illex cf. coindetii DBC-2006,370614,97.84,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1114:7057:6364_CONS_SUB_SUB,Lutjanus synagris,40496,99.12,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1114:7220:15827_CONS_SUB_SUB,Gempylus serpens,13543,100,FALSE,Gempylus serpens,13543,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2101:12203:26764_CONS_SUB_SUB,Speocarcinus lobatus,576842,99.13,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2101:14508:22678_CONS_SUB_SUB,Larimus fasciatus,329433,99.68,TRUE,Larimus fasciatus,329433,True,1,0.987,0.987,1,0,17,True,TRUE
M00595:3:000000000-ALULJ:1:2101:20271:6175_CONS_SUB_SUB,Sagitta enflata,52900,99.26,FALSE,Sagitta enflata,52900,True,1,1,1,3,1,6,False,TRUE
M00595:3:000000000-ALULJ:1:2101:9008:10245_CONS_SUB_SUB_CMP,Candida sake,39397,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2102:10132:6867_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Chloroscombrus chrysurus,173329,True,1,1,1,1,0,7,False,NA
M00595:3:000000000-ALULJ:1:2102:12119:7780_CONS_SUB_SUB_CMP,Lolliguncula brevis,78435,99.68,FALSE,,78434,False,2,0.491,0.465,2,1,9,False,FALSE
M00595:3:000000000-ALULJ:1:2102:26118:21891_CONS_SUB_SUB,Lutjanus synagris,40496,97.97,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2103:12797:11693_CONS_SUB_SUB,Bos taurus,9913,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2103:19462:13312_CONS_SUB_SUB,Sapphirinidae sp. Co425.1.2,1331789,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2103:21513:9835_CONS_SUB_SUB,Undinula vulgaris,184747,99.36,FALSE,,6656,False,1,0.922,0.922,1,0,36,False,FALSE
M00595:3:000000000-ALULJ:1:2103:21878:24138_CONS_SUB_SUB,Cellana sandwicensis,457027,99.36,FALSE,,27810,False,3,0.825,0.001,3,0,18,False,FALSE
M00595:3:000000000-ALULJ:1:2103:7533:6239_CONS_SUB_SUB,NA,NA,NA,NA,Lonchopisthus micrognathus,1311555,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:2103:7648:11601_CONS_SUB_SUB,Caulolatilus intermedius,1311425,99.49,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2104:17762:28088_CONS_SUB_SUB,NA,NA,NA,NA,Pseudorhombila quadridentata,689448,True,1,1,1,1,0,34,False,NA
M00595:3:000000000-ALULJ:1:2105:13272:7758_CONS_SUB_SUB_CMP,Penicillium decumbens,69771,97.18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2105:20171:14930_CONS_SUB_SUB,Lutjanus synagris,40496,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2105:22517:8736_CONS_SUB_SUB_CMP,Chloroscombrus chrysurus,173329,97.21,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2106:21952:11883_CONS_SUB_SUB,Pseudorhombila quadridentata,689448,97.67,FALSE,Pseudorhombila quadridentata,689448,True,2,0.994,0.003,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:2106:8183:14373_CONS_SUB_SUB,NA,NA,NA,NA,Sagitta enflata,52900,True,1,1,1,3,1,6,False,NA
M00595:3:000000000-ALULJ:1:2107:10569:15930_CONS_SUB_SUB,Hoplunnis macrura,1459830,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2107:29266:13709_CONS_SUB_SUB,Fusarium incarnatum,298378,97.12,FALSE,,5506,False,6,0.15,0.004,10,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:2107:3071:11647_CONS_SUB_SUB,NA,NA,NA,NA,Pseudorhombila quadridentata,689448,True,1,1,1,1,0,45,False,NA
M00595:3:000000000-ALULJ:1:2108:11364:26907_CONS_SUB_SUB_CMP,Phytophthora cactorum,29920,100,FALSE,,4783,False,2,0.622,0.069,50,0,50,True,FALSE
M00595:3:000000000-ALULJ:1:2108:17551:24940_CONS_SUB_SUB,NA,NA,NA,NA,,329432,True,2,0.967,0.004,1,0,38,False,NA
M00595:3:000000000-ALULJ:1:2108:23733:5675_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Larimus fasciatus,329433,True,1,0.994,0.994,1,0,9,False,NA
M00595:3:000000000-ALULJ:1:2108:8149:20628_CONS_SUB_SUB,Hoplunnis macrura,1459830,98.17,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2109:13032:16952_CONS_SUB_SUB,Agathylla biloba,1326928,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2109:13153:22026_CONS_SUB_SUB,Polyonyx gibbesi,404952,97.67,FALSE,Polyonyx gibbesi,404952,True,1,1,1,1,0,22,False,TRUE
M00595:3:000000000-ALULJ:1:2109:13678:24076_CONS_SUB_SUB,NA,NA,NA,NA,Sagitta enflata,52900,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:2109:16838:13534_CONS_SUB_SUB,Illex cf. coindetii DBC-2006,370614,99.68,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2109:19722:23737_CONS_SUB_SUB_CMP,Synodus macrostigmus,1226405,97.1,FALSE,,81391,False,4,0.041,0.001,2,0,6,False,FALSE
M00595:3:000000000-ALULJ:1:2109:24746:14152_CONS_SUB_SUB,Apogon aurolineatus,638130,98.08,FALSE,,7711,False,2,0.852,0.076,2,0,6,True,FALSE
M00595:3:000000000-ALULJ:1:2109:26492:23996_CONS_SUB_SUB,Euconchoecia chierchiae,702399,98.51,FALSE,Euconchoecia chierchiae,702399,False,2,0.916,0.032,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2110:19040:7044_CONS_SUB_SUB_CMP,Lonchopisthus micrognathus,1311555,99.08,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2110:21064:27430_CONS_SUB_SUB,NA,NA,NA,NA,Latreutes parvulus,1837157,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:2110:25919:8367_CONS_SUB_SUB,Caulolatilus intermedius,1311425,99.56,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2110:27721:13667_CONS_SUB_SUB,Pristipomoides aquilonaris,40511,97.54,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2110:29224:12041_CONS_SUB_SUB,NA,NA,NA,NA,Raninoides louisianensis,6794,True,1,1,1,1,0,48,False,NA
M00595:3:000000000-ALULJ:1:2110:8207:14177_CONS_SUB_SUB,Chloroscombrus chrysurus,173329,98.65,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2111:16195:16117_CONS_SUB_SUB_CMP,Candacia curta,748995,97.39,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2111:20339:12894_CONS_SUB_SUB,NA,NA,NA,NA,Latreutes parvulus,1837157,True,1,1,1,1,0,50,False,NA
M00595:3:000000000-ALULJ:1:2111:21551:26995_CONS_SUB_SUB_CMP,NA,NA,NA,NA,Lonchopisthus micrognathus,1311555,True,1,1,1,1,0,45,False,NA
M00595:3:000000000-ALULJ:1:2111:4226:12282_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,4,0.811,0.001,2,0,46,False,NA
M00595:3:000000000-ALULJ:1:2111:7289:20754_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,600334,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:2112:18447:23567_CONS_SUB_SUB,NA,NA,NA,NA,,7711,False,1,0.001,0.001,3,1,28,False,NA
M00595:3:000000000-ALULJ:1:2112:22272:18872_CONS_SUB_SUB,Speocarcinus lobatus,576842,98,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2112:22672:18684_CONS_SUB_SUB,Centropages furcatus,399975,98.71,FALSE,Centropages furcatus,399975,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2112:5235:7501_CONS_SUB_SUB,Lepidopus altifrons,499860,100,FALSE,Lepidopus altifrons,499860,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2112:8515:6905_CONS_SUB_SUB,Lutjanus synagris,40496,99.63,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2113:11850:20918_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,186623,False,1,0.076,0.076,1,0,10,False,NA
M00595:3:000000000-ALULJ:1:2113:14903:14329_CONS_SUB_SUB,Decapterus punctatus,173322,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2113:18072:23198_CONS_SUB_SUB,Selene setapinnis,179369,97.47,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2113:18698:18214_CONS_SUB_SUB,Ancylomenes pedersoni,1551778,98.95,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2113:28235:14185_CONS_SUB_SUB_CMP,Lutjanus synagris,40496,100,TRUE,,30850,False,3,0.221,0.165,21,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:2113:2876:19105_CONS_SUB_SUB,NA,NA,NA,NA,Pseudorhombila quadridentata,689448,True,1,1,1,1,0,50,False,NA
M00595:3:000000000-ALULJ:1:2113:3474:20467_CONS_SUB_SUB,Temora stylifera,399051,99.36,FALSE,Temora stylifera,399051,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2113:7413:20570_CONS_SUB_SUB,Ctenogobius boleosoma,700790,99.04,FALSE,Ctenogobius boleosoma,700790,False,2,0.831,0.085,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2113:8407:27047_CONS_SUB_SUB,Pristipomoides aquilonaris,40511,97.28,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2114:11020:18888_CONS_SUB_SUB,Polyonyx gibbesi,404952,99.68,FALSE,Polyonyx gibbesi,404952,True,1,1,1,1,0,12,False,TRUE
M00595:3:000000000-ALULJ:1:2114:11670:27030_CONS_SUB_SUB,Speocarcinus lobatus,576842,97.61,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2114:13422:5689_CONS_SUB_SUB,Gryllus sp. BOLD:AAG0677,1149963,99.68,FALSE,,6998,True,1,1,1,6,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:2114:13744:11519_CONS_SUB_SUB,Lutjanus synagris,40496,97.93,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2114:17489:19380_CONS_SUB_SUB,NA,NA,NA,NA,Decapterus punctatus,173322,True,1,1,1,1,0,40,False,NA
M00595:3:000000000-ALULJ:1:2114:19183:17614_CONS_SUB_SUB,Lutjanus synagris,40496,98.64,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2114:21187:25413_CONS_SUB_SUB,Pseudorhombila quadridentata,689448,97.63,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2114:25634:17937_CONS_SUB_SUB,NA,NA,NA,NA,Lonchopisthus micrognathus,1311555,True,1,1,1,1,0,50,False,NA
M01896:197:000000000-ANEHB:1:1101:10312:15261_CONS_SUB_SUB,Gymnothorax nigromarginatus,1459829,98.71,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1101:17980:7809_CONS_SUB_SUB,Euthynnus alletteratus,8228,99.12,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1101:3102:10434_CONS_SUB_SUB_CMP,Balanus trigonus,756461,97.83,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1101:7326:18483_CONS_SUB_SUB_CMP,Serranus notospilus,1311498,98.39,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1102:10943:26203_CONS_SUB_SUB,NA,NA,NA,NA,,30871,True,2,0.981,0.005,1,0,50,False,NA
M01896:197:000000000-ANEHB:1:1102:17675:7178_CONS_SUB_SUB_CMP,Mullus auratus,1286129,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1102:18472:20678_CONS_SUB_SUB,Meadia abyssalis,398653,97.76,FALSE,,118152,True,2,0.993,0.004,1,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:1102:20088:12548_CONS_SUB_SUB_CMP,Pterois volitans,185886,97.71,FALSE,,7711,False,6,0.308,0.008,6,0,37,True,FALSE
M01896:197:000000000-ANEHB:1:1102:8760:4130_CONS_SUB_SUB,NA,NA,NA,NA,Farfantepenaeus aztecus,6690,True,1,1,1,1,0,6,False,NA
M01896:197:000000000-ANEHB:1:1102:9928:18956_CONS_SUB_SUB,Sphyraena jello,445362,100,FALSE,,13691,False,3,0.281,0.001,2,0,41,False,FALSE
M01896:197:000000000-ANEHB:1:1103:12781:26973_CONS_SUB_SUB,Thliptodon diaphanus,649086,100,FALSE,Thliptodon diaphanus,649086,False,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1103:26709:12670_CONS_SUB_SUB,NA,NA,NA,NA,,186623,False,3,0.528,0.201,2,1,18,True,NA
M01896:197:000000000-ANEHB:1:1103:6922:25990_CONS_SUB_SUB,Apogon maculatus,308069,99.68,FALSE,,7711,False,2,0.981,0.011,1,0,9,True,FALSE
M01896:197:000000000-ANEHB:1:1104:10845:2807_CONS_SUB_SUB_CMP,Anchoa mitchilli,224718,100,FALSE,,7711,False,6,0.199,0.001,5,1,18,False,FALSE
M01896:197:000000000-ANEHB:1:1104:11787:22178_CONS_SUB_SUB,Lagodon rhomboides,50351,99.57,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1104:14461:22509_CONS_SUB_SUB,Caesio cuning,119694,99.68,FALSE,,119693,False,2,0.104,0.082,5,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:1104:20403:5212_CONS_SUB_SUB,Actinopterygii environmental sample,1184603,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1104:22412:12664_CONS_SUB_SUB,Amphioctopus sp. JBLS-2013,1423834,99.61,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1105:11179:9627_CONS_SUB_SUB,Rhizoprionodon terraenovae,303945,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
